supplier_id,location,rating,quantity,lead_time_days,sku,order_date,order_year,order_month,order_quarter,order_day_of_week,delivery_delay_days,is_late
"S002","Seattle",4.42,48,14,"SKU0015","2021-10-18",2021,10,4,2,0,0
"S008","Los Angeles",3.37,280,9,"SKU0026","2022-02-03",2022,2,1,5,-1,0
"S007","Los Angeles",3.36,384,13,"SKU0014","2023-02-09",2023,2,1,5,7,1
"S007","Los Angeles",3.36,294,13,"SKU0011","2020-12-03",2020,12,4,5,8,1
"S005","Seattle",4.66,166,15,"SKU0012","2023-04-29",2023,4,2,7,6,1
"S008","Los Angeles",3.37,84,18,"SKU0026","2019-06-11",2019,6,2,3,4,1
"S009","Los Angeles",3.61,381,8,"SKU0013","2019-07-21",2019,7,3,1,3,1
"S003","Los Angeles",3.04,297,8,"SKU0008","2024-06-04",2024,6,2,3,-2,0
"S002","Seattle",4.42,139,10,"SKU0030","2021-09-22",2021,9,3,4,2,1
"S002","Seattle",4.42,184,16,"SKU0018","2021-03-26",2021,3,1,6,9,1
"S007","Los Angeles",3.36,471,14,"SKU0025","2020-03-31",2020,3,1,3,8,1
"S009","Los Angeles",3.61,93,18,"SKU0001","2022-06-29",2022,6,2,4,8,1
"S002","Seattle",4.42,31,10,"SKU0015","2021-10-13",2021,10,4,4,0,0
"S003","Los Angeles",3.04,468,12,"SKU0008","2019-12-04",2019,12,4,4,-2,0
"S001","Houston",4.2,36,4,"SKU0028","2021-05-28",2021,5,2,6,1,1
"S007","Los Angeles",3.36,204,10,"SKU0011","2021-12-12",2021,12,4,1,-1,0
"S005","Seattle",4.66,346,6,"SKU0012","2021-03-02",2021,3,1,3,-1,0
"S005","Seattle",4.66,391,6,"SKU0012","2021-02-02",2021,2,1,3,0,0
"S003","Los Angeles",3.04,245,13,"SKU0004","2020-01-15",2020,1,1,4,5,1
"S004","Seattle",4.94,449,13,"SKU0016","2020-05-07",2020,5,2,5,5,1
"S003","Los Angeles",3.04,101,13,"SKU0004","2022-03-26",2022,3,1,7,9,1
"S007","Los Angeles",3.36,486,14,"SKU0005","2024-08-24",2024,8,3,7,4,1
"S004","Seattle",4.94,30,12,"SKU0024","2019-03-06",2019,3,1,4,3,1
"S007","Los Angeles",3.36,312,9,"SKU0005","2022-09-29",2022,9,3,5,6,1
"S003","Los Angeles",3.04,473,8,"SKU0008","2022-02-26",2022,2,1,7,1,1
"S003","Los Angeles",3.04,366,23,"SKU0010","2024-07-20",2024,7,3,7,9,1
"S009","Los Angeles",3.61,452,6,"SKU0017","2023-02-04",2023,2,1,7,-2,0
"S001","Houston",4.2,93,11,"SKU0028","2022-03-08",2022,3,1,3,5,1
"S008","Los Angeles",3.37,271,8,"SKU0026","2023-03-03",2023,3,1,6,4,1
"S005","Seattle",4.66,156,10,"SKU0009","2020-01-27",2020,1,1,2,4,1
"S005","Seattle",4.66,450,3,"SKU0022","2023-08-26",2023,8,3,7,0,0
"S010","Seattle",4.05,462,10,"SKU0019","2020-02-23",2020,2,1,1,1,1
"S004","Seattle",4.94,396,11,"SKU0029","2020-01-14",2020,1,1,3,7,1
"S007","Los Angeles",3.36,266,10,"SKU0014","2023-12-02",2023,12,4,7,6,1
"S003","Los Angeles",3.04,67,14,"SKU0008","2024-09-19",2024,9,3,5,3,1
"S005","Seattle",4.66,389,9,"SKU0009","2024-12-22",2024,12,4,1,2,1
"S005","Seattle",4.66,431,4,"SKU0022","2019-07-20",2019,7,3,7,0,0
"S007","Los Angeles",3.36,24,19,"SKU0011","2024-02-07",2024,2,1,4,6,1
"S002","Seattle",4.42,171,13,"SKU0023","2021-02-18",2021,2,1,5,2,1
"S009","Los Angeles",3.61,454,13,"SKU0001","2020-05-17",2020,5,2,1,2,1
"S007","Los Angeles",3.36,172,4,"SKU0014","2023-10-18",2023,10,4,4,1,1
"S007","Los Angeles",3.36,329,14,"SKU0005","2021-03-15",2021,3,1,2,1,1
"S010","Seattle",4.05,290,14,"SKU0021","2024-11-16",2024,11,4,7,9,1
"S008","Los Angeles",3.37,289,4,"SKU0026","2024-03-10",2024,3,1,1,-2,0
"S007","Los Angeles",3.36,21,13,"SKU0014","2023-04-20",2023,4,2,5,4,1
"S003","Los Angeles",3.04,283,18,"SKU0004","2021-08-18",2021,8,3,4,6,1
"S005","Seattle",4.66,280,6,"SKU0022","2023-01-25",2023,1,1,4,0,0
"S002","Seattle",4.42,217,13,"SKU0023","2021-10-25",2021,10,4,2,9,1
"S007","Los Angeles",3.36,36,8,"SKU0025","2020-05-17",2020,5,2,1,-1,0
"S009","Los Angeles",3.61,81,8,"SKU0001","2020-02-02",2020,2,1,1,0,0
"S005","Seattle",4.66,69,3,"SKU0022","2021-05-20",2021,5,2,5,-2,0
"S002","Seattle",4.42,439,11,"SKU0023","2020-01-28",2020,1,1,3,3,1
"S010","Seattle",4.05,482,21,"SKU0019","2019-07-26",2019,7,3,6,8,1
"S003","Los Angeles",3.04,154,16,"SKU0008","2021-11-04",2021,11,4,5,8,1
"S002","Seattle",4.42,102,18,"SKU0015","2024-02-25",2024,2,1,1,4,1
"S010","Seattle",4.05,318,15,"SKU0021","2023-01-24",2023,1,1,3,8,1
"S002","Seattle",4.42,17,14,"SKU0015","2021-05-13",2021,5,2,5,8,1
"S005","Seattle",4.66,88,11,"SKU0009","2020-07-17",2020,7,3,6,-1,0
"S010","Seattle",4.05,36,19,"SKU0021","2021-10-17",2021,10,4,1,5,1
"S005","Seattle",4.66,183,6,"SKU0009","2019-04-06",2019,4,2,7,3,1
"S003","Los Angeles",3.04,59,13,"SKU0010","2024-04-07",2024,4,2,1,1,1
"S009","Los Angeles",3.61,208,10,"SKU0020","2023-10-24",2023,10,4,3,2,1
"S007","Los Angeles",3.36,396,9,"SKU0025","2023-08-06",2023,8,3,1,5,1
"S010","Seattle",4.05,358,5,"SKU0021","2020-06-24",2020,6,2,4,0,0
"S008","Los Angeles",3.37,457,10,"SKU0026","2021-11-25",2021,11,4,5,0,0
"S005","Seattle",4.66,437,20,"SKU0009","2022-03-29",2022,3,1,3,8,1
"S010","Seattle",4.05,190,9,"SKU0003","2023-09-19",2023,9,3,3,1,1
"S009","Los Angeles",3.61,33,3,"SKU0020","2023-12-25",2023,12,4,2,-2,0
"S007","Los Angeles",3.36,325,15,"SKU0025","2023-05-17",2023,5,2,4,6,1
"S008","Los Angeles",3.37,387,11,"SKU0026","2021-03-06",2021,3,1,7,5,1
"S007","Los Angeles",3.36,396,16,"SKU0011","2021-11-17",2021,11,4,4,5,1
"S004","Seattle",4.94,413,14,"SKU0006","2023-07-02",2023,7,3,1,7,1
"S001","Houston",4.2,55,8,"SKU0002","2022-09-25",2022,9,3,1,3,1
"S009","Los Angeles",3.61,24,8,"SKU0007","2024-06-04",2024,6,2,3,4,1
"S002","Seattle",4.42,162,16,"SKU0018","2022-09-16",2022,9,3,6,3,1
"S003","Los Angeles",3.04,231,10,"SKU0027","2023-07-22",2023,7,3,7,6,1
"S001","Houston",4.2,215,5,"SKU0002","2023-03-10",2023,3,1,6,0,0
"S003","Los Angeles",3.04,464,4,"SKU0027","2024-07-31",2024,7,3,4,0,0
"S009","Los Angeles",3.61,282,6,"SKU0017","2023-02-05",2023,2,1,1,0,0
"S007","Los Angeles",3.36,391,11,"SKU0011","2022-11-09",2022,11,4,4,7,1
"S003","Los Angeles",3.04,245,12,"SKU0027","2022-11-01",2022,11,4,3,0,0
"S005","Seattle",4.66,349,17,"SKU0012","2022-07-30",2022,7,3,7,6,1
"S003","Los Angeles",3.04,237,13,"SKU0027","2021-08-30",2021,8,3,2,9,1
"S010","Seattle",4.05,18,12,"SKU0019","2023-11-04",2023,11,4,7,1,1
"S005","Seattle",4.66,175,12,"SKU0022","2022-07-06",2022,7,3,4,4,1
"S004","Seattle",4.94,441,9,"SKU0024","2020-12-10",2020,12,4,5,6,1
"S007","Los Angeles",3.36,453,14,"SKU0025","2023-01-19",2023,1,1,5,8,1
"S009","Los Angeles",3.61,328,12,"SKU0007","2022-12-05",2022,12,4,2,9,1
"S009","Los Angeles",3.61,223,12,"SKU0020","2020-10-10",2020,10,4,7,4,1
"S004","Seattle",4.94,126,12,"SKU0006","2019-11-14",2019,11,4,5,6,1
"S010","Seattle",4.05,395,14,"SKU0021","2022-06-11",2022,6,2,7,9,1
"S004","Seattle",4.94,353,5,"SKU0024","2020-11-14",2020,11,4,7,0,0
"S009","Los Angeles",3.61,81,12,"SKU0001","2020-10-25",2020,10,4,1,1,1
"S009","Los Angeles",3.61,404,13,"SKU0017","2024-06-21",2024,6,2,6,5,1
"S004","Seattle",4.94,73,14,"SKU0029","2023-06-20",2023,6,2,3,3,1
"S007","Los Angeles",3.36,214,9,"SKU0011","2023-02-04",2023,2,1,7,2,1
"S005","Seattle",4.66,218,5,"SKU0022","2022-02-10",2022,2,1,5,1,1
"S008","Los Angeles",3.37,81,15,"SKU0026","2024-01-28",2024,1,1,1,5,1
"S001","Houston",4.2,286,5,"SKU0028","2023-03-01",2023,3,1,4,-2,0
"S002","Seattle",4.42,283,10,"SKU0018","2020-07-17",2020,7,3,6,6,1
"S010","Seattle",4.05,487,4,"SKU0021","2022-07-15",2022,7,3,6,-2,0
"S009","Los Angeles",3.61,329,16,"SKU0017","2023-06-25",2023,6,2,1,5,1
"S009","Los Angeles",3.61,347,7,"SKU0007","2020-11-29",2020,11,4,1,1,1
"S009","Los Angeles",3.61,375,20,"SKU0017","2024-11-30",2024,11,4,7,6,1
"S009","Los Angeles",3.61,104,22,"SKU0020","2019-01-02",2019,1,1,4,8,1
"S005","Seattle",4.66,175,16,"SKU0009","2020-10-03",2020,10,4,7,2,1
"S009","Los Angeles",3.61,41,6,"SKU0017","2023-05-09",2023,5,2,3,0,0
"S009","Los Angeles",3.61,20,10,"SKU0020","2021-05-04",2021,5,2,3,6,1
"S005","Seattle",4.66,310,22,"SKU0022","2023-10-26",2023,10,4,5,8,1
"S005","Seattle",4.66,226,14,"SKU0022","2023-07-20",2023,7,3,5,6,1
"S001","Houston",4.2,298,14,"SKU0028","2022-02-27",2022,2,1,1,1,1
"S004","Seattle",4.94,111,12,"SKU0029","2021-12-12",2021,12,4,1,8,1
"S003","Los Angeles",3.04,434,15,"SKU0008","2023-09-04",2023,9,3,2,1,1
"S009","Los Angeles",3.61,401,18,"SKU0017","2023-08-23",2023,8,3,4,9,1
"S009","Los Angeles",3.61,276,10,"SKU0007","2023-09-30",2023,9,3,7,5,1
"S009","Los Angeles",3.61,223,4,"SKU0001","2022-12-10",2022,12,4,7,-1,0
"S009","Los Angeles",3.61,188,13,"SKU0013","2021-04-15",2021,4,2,5,6,1
"S002","Seattle",4.42,97,8,"SKU0030","2019-07-22",2019,7,3,2,3,1
"S002","Seattle",4.42,50,10,"SKU0023","2019-05-03",2019,5,2,6,6,1
"S010","Seattle",4.05,410,17,"SKU0019","2020-02-05",2020,2,1,4,5,1
"S003","Los Angeles",3.04,85,15,"SKU0027","2021-02-05",2021,2,1,6,4,1
"S004","Seattle",4.94,386,2,"SKU0024","2019-10-21",2019,10,4,2,-2,0
"S010","Seattle",4.05,55,22,"SKU0019","2019-07-17",2019,7,3,4,9,1
"S002","Seattle",4.42,169,4,"SKU0030","2024-04-14",2024,4,2,1,0,0
"S002","Seattle",4.42,472,18,"SKU0030","2024-12-31",2024,12,4,3,8,1
"S004","Seattle",4.94,89,10,"SKU0029","2020-08-31",2020,8,3,2,-1,0
"S009","Los Angeles",3.61,319,11,"SKU0017","2022-02-21",2022,2,1,2,2,1
"S009","Los Angeles",3.61,95,7,"SKU0013","2019-07-06",2019,7,3,7,2,1
"S004","Seattle",4.94,101,13,"SKU0029","2023-11-30",2023,11,4,5,2,1
"S002","Seattle",4.42,157,6,"SKU0030","2020-10-21",2020,10,4,4,1,1
"S004","Seattle",4.94,170,9,"SKU0016","2024-05-09",2024,5,2,5,2,1
"S003","Los Angeles",3.04,211,11,"SKU0008","2022-10-01",2022,10,4,7,0,0
"S010","Seattle",4.05,433,23,"SKU0019","2024-06-09",2024,6,2,1,9,1
"S002","Seattle",4.42,425,3,"SKU0018","2023-03-15",2023,3,1,4,-2,0
"S009","Los Angeles",3.61,251,11,"SKU0001","2019-05-27",2019,5,2,2,2,1
"S007","Los Angeles",3.36,362,20,"SKU0014","2023-10-01",2023,10,4,1,6,1
"S010","Seattle",4.05,11,9,"SKU0019","2024-01-18",2024,1,1,5,6,1
"S002","Seattle",4.42,234,7,"SKU0015","2020-05-03",2020,5,2,1,1,1
"S002","Seattle",4.42,298,6,"SKU0018","2024-05-13",2024,5,2,2,0,0
"S001","Houston",4.2,242,7,"SKU0002","2023-07-22",2023,7,3,7,-2,0
"S005","Seattle",4.66,470,9,"SKU0022","2020-10-02",2020,10,4,6,-1,0
"S001","Houston",4.2,423,8,"SKU0028","2023-12-08",2023,12,4,6,5,1
"S009","Los Angeles",3.61,426,5,"SKU0017","2024-05-23",2024,5,2,5,-2,0
"S002","Seattle",4.42,86,14,"SKU0018","2022-12-09",2022,12,4,6,5,1
"S002","Seattle",4.42,125,18,"SKU0030","2023-06-23",2023,6,2,6,4,1
"S004","Seattle",4.94,163,11,"SKU0006","2019-09-20",2019,9,3,6,5,1
"S010","Seattle",4.05,415,15,"SKU0019","2023-11-23",2023,11,4,5,9,1
"S003","Los Angeles",3.04,112,9,"SKU0004","2024-12-31",2024,12,4,3,3,1
"S009","Los Angeles",3.61,203,23,"SKU0001","2020-09-15",2020,9,3,3,9,1
"S003","Los Angeles",3.04,175,14,"SKU0008","2021-10-13",2021,10,4,4,6,1
"S004","Seattle",4.94,368,9,"SKU0029","2021-05-30",2021,5,2,1,0,0
"S002","Seattle",4.42,99,11,"SKU0023","2024-08-11",2024,8,3,1,7,1
"S009","Los Angeles",3.61,183,8,"SKU0007","2022-08-20",2022,8,3,7,1,1
"S010","Seattle",4.05,131,9,"SKU0003","2020-03-28",2020,3,1,7,3,1
"S003","Los Angeles",3.04,152,10,"SKU0010","2022-03-29",2022,3,1,3,5,1
"S003","Los Angeles",3.04,491,11,"SKU0010","2024-08-18",2024,8,3,1,2,1
"S010","Seattle",4.05,115,13,"SKU0019","2023-08-10",2023,8,3,5,0,0
"S007","Los Angeles",3.36,384,17,"SKU0014","2022-02-28",2022,2,1,2,3,1
"S001","Houston",4.2,437,9,"SKU0002","2020-02-08",2020,2,1,7,1,1
"S001","Houston",4.2,314,15,"SKU0028","2024-10-02",2024,10,4,4,6,1
"S009","Los Angeles",3.61,369,7,"SKU0001","2023-08-24",2023,8,3,5,0,0
"S002","Seattle",4.42,468,9,"SKU0023","2020-09-19",2020,9,3,7,1,1
"S002","Seattle",4.42,326,11,"SKU0023","2020-08-09",2020,8,3,1,4,1
"S001","Houston",4.2,460,13,"SKU0028","2023-07-07",2023,7,3,6,4,1
"S002","Seattle",4.42,132,13,"SKU0018","2022-12-14",2022,12,4,4,9,1
"S009","Los Angeles",3.61,399,22,"SKU0007","2022-12-16",2022,12,4,6,9,1
"S004","Seattle",4.94,18,8,"SKU0029","2019-04-14",2019,4,2,1,1,1
"S003","Los Angeles",3.04,271,11,"SKU0008","2019-09-11",2019,9,3,4,3,1
"S009","Los Angeles",3.61,82,17,"SKU0001","2023-02-05",2023,2,1,1,9,1
"S007","Los Angeles",3.36,368,7,"SKU0025","2019-04-09",2019,4,2,3,0,0
"S002","Seattle",4.42,232,15,"SKU0023","2024-02-28",2024,2,1,4,3,1
"S010","Seattle",4.05,425,18,"SKU0003","2024-04-03",2024,4,2,4,9,1
"S004","Seattle",4.94,50,11,"SKU0024","2021-05-27",2021,5,2,5,-1,0
"S002","Seattle",4.42,379,15,"SKU0023","2019-12-04",2019,12,4,4,5,1
"S003","Los Angeles",3.04,213,8,"SKU0027","2021-08-14",2021,8,3,7,-1,0
"S004","Seattle",4.94,273,15,"SKU0029","2023-09-01",2023,9,3,6,8,1
"S003","Los Angeles",3.04,337,7,"SKU0008","2019-06-10",2019,6,2,2,4,1
"S005","Seattle",4.66,187,13,"SKU0022","2023-05-23",2023,5,2,3,6,1
"S007","Los Angeles",3.36,357,10,"SKU0025","2020-02-02",2020,2,1,1,-2,0
"S002","Seattle",4.42,327,9,"SKU0015","2022-07-24",2022,7,3,1,5,1
"S007","Los Angeles",3.36,93,11,"SKU0005","2021-03-26",2021,3,1,6,4,1
"S010","Seattle",4.05,327,10,"SKU0003","2023-03-08",2023,3,1,4,3,1
"S010","Seattle",4.05,120,7,"SKU0019","2024-04-03",2024,4,2,4,3,1
"S009","Los Angeles",3.61,260,10,"SKU0001","2022-11-16",2022,11,4,4,3,1
"S001","Houston",4.2,392,12,"SKU0028","2022-03-04",2022,3,1,6,6,1
"S002","Seattle",4.42,16,2,"SKU0015","2022-05-03",2022,5,2,3,-1,0
"S003","Los Angeles",3.04,468,3,"SKU0008","2020-02-05",2020,2,1,4,-2,0
"S001","Houston",4.2,93,12,"SKU0002","2020-10-01",2020,10,4,5,9,1
"S010","Seattle",4.05,217,17,"SKU0003","2020-04-04",2020,4,2,7,3,1
"S004","Seattle",4.94,397,20,"SKU0024","2021-08-12",2021,8,3,5,7,1
"S007","Los Angeles",3.36,399,15,"SKU0014","2020-04-14",2020,4,2,3,8,1
"S004","Seattle",4.94,323,11,"SKU0024","2021-11-11",2021,11,4,5,5,1
"S007","Los Angeles",3.36,31,9,"SKU0014","2023-08-21",2023,8,3,2,0,0
"S007","Los Angeles",3.36,419,16,"SKU0011","2024-09-16",2024,9,3,2,9,1
"S004","Seattle",4.94,392,19,"SKU0016","2020-07-16",2020,7,3,5,7,1
"S003","Los Angeles",3.04,12,4,"SKU0004","2023-12-05",2023,12,4,3,-2,0
"S009","Los Angeles",3.61,136,10,"SKU0020","2024-09-05",2024,9,3,5,6,1
"S007","Los Angeles",3.36,306,4,"SKU0005","2019-08-14",2019,8,3,4,-2,0
"S005","Seattle",4.66,197,14,"SKU0022","2021-03-08",2021,3,1,2,0,0
"S010","Seattle",4.05,371,9,"SKU0021","2021-08-17",2021,8,3,3,5,1
"S007","Los Angeles",3.36,23,10,"SKU0014","2023-02-13",2023,2,1,2,0,0
"S002","Seattle",4.42,468,6,"SKU0023","2020-03-28",2020,3,1,7,1,1
"S004","Seattle",4.94,475,16,"SKU0016","2021-03-26",2021,3,1,6,5,1
"S002","Seattle",4.42,21,4,"SKU0018","2020-10-20",2020,10,4,3,-2,0
"S009","Los Angeles",3.61,96,11,"SKU0007","2020-06-30",2020,6,2,3,3,1
"S003","Los Angeles",3.04,21,10,"SKU0010","2022-04-30",2022,4,2,7,-2,0
"S009","Los Angeles",3.61,406,5,"SKU0007","2019-01-17",2019,1,1,5,-2,0
"S009","Los Angeles",3.61,34,17,"SKU0001","2022-05-28",2022,5,2,7,5,1
"S002","Seattle",4.42,310,11,"SKU0023","2021-12-05",2021,12,4,1,8,1
"S010","Seattle",4.05,252,12,"SKU0021","2024-11-16",2024,11,4,7,1,1
"S010","Seattle",4.05,131,12,"SKU0019","2023-11-04",2023,11,4,7,9,1
"S004","Seattle",4.94,156,8,"SKU0016","2021-11-26",2021,11,4,6,-2,0
"S004","Seattle",4.94,64,18,"SKU0029","2019-10-29",2019,10,4,3,7,1
"S010","Seattle",4.05,247,15,"SKU0019","2019-06-30",2019,6,2,1,4,1
"S003","Los Angeles",3.04,365,5,"SKU0004","2020-08-29",2020,8,3,7,2,1
"S004","Seattle",4.94,182,6,"SKU0029","2020-11-30",2020,11,4,2,2,1
"S001","Houston",4.2,401,12,"SKU0028","2021-09-19",2021,9,3,1,-2,0
"S002","Seattle",4.42,230,10,"SKU0018","2022-02-13",2022,2,1,1,7,1
"S001","Houston",4.2,128,20,"SKU0002","2019-07-10",2019,7,3,4,8,1
"S009","Los Angeles",3.61,318,7,"SKU0001","2021-09-07",2021,9,3,3,3,1
"S002","Seattle",4.42,192,18,"SKU0015","2024-06-29",2024,6,2,7,6,1
"S007","Los Angeles",3.36,297,20,"SKU0005","2022-03-30",2022,3,1,4,6,1
"S009","Los Angeles",3.61,316,15,"SKU0020","2019-05-08",2019,5,2,4,5,1
"S007","Los Angeles",3.36,309,9,"SKU0011","2024-08-27",2024,8,3,3,2,1
"S003","Los Angeles",3.04,91,12,"SKU0010","2023-12-22",2023,12,4,6,-2,0
"S001","Houston",4.2,463,19,"SKU0002","2023-10-25",2023,10,4,4,6,1
"S010","Seattle",4.05,411,7,"SKU0003","2020-07-23",2020,7,3,5,-2,0
"S002","Seattle",4.42,220,9,"SKU0023","2022-09-08",2022,9,3,5,5,1
"S002","Seattle",4.42,159,12,"SKU0023","2024-03-10",2024,3,1,1,2,1
"S005","Seattle",4.66,46,13,"SKU0012","2020-09-17",2020,9,3,5,0,0
"S009","Los Angeles",3.61,361,16,"SKU0020","2023-08-14",2023,8,3,2,8,1
"S007","Los Angeles",3.36,321,14,"SKU0005","2019-06-04",2019,6,2,3,4,1
"S007","Los Angeles",3.36,370,7,"SKU0005","2022-11-10",2022,11,4,5,4,1
"S004","Seattle",4.94,68,9,"SKU0006","2021-02-23",2021,2,1,3,6,1
"S002","Seattle",4.42,140,18,"SKU0030","2019-09-03",2019,9,3,3,4,1
"S005","Seattle",4.66,421,17,"SKU0009","2023-02-09",2023,2,1,5,8,1
"S001","Houston",4.2,211,10,"SKU0002","2023-09-02",2023,9,3,7,0,0
"S010","Seattle",4.05,252,13,"SKU0021","2020-06-21",2020,6,2,1,8,1
"S005","Seattle",4.66,44,5,"SKU0012","2024-03-05",2024,3,1,3,-2,0
"S010","Seattle",4.05,454,19,"SKU0003","2024-01-16",2024,1,1,3,5,1
"S009","Los Angeles",3.61,102,12,"SKU0020","2021-07-09",2021,7,3,6,9,1
"S008","Los Angeles",3.37,447,9,"SKU0026","2020-06-08",2020,6,2,2,0,0
"S005","Seattle",4.66,456,16,"SKU0022","2023-03-10",2023,3,1,6,9,1
"S005","Seattle",4.66,216,15,"SKU0012","2019-02-05",2019,2,1,3,5,1
"S004","Seattle",4.94,362,15,"SKU0024","2020-11-15",2020,11,4,1,5,1
"S009","Los Angeles",3.61,400,13,"SKU0017","2019-01-20",2019,1,1,1,2,1
"S003","Los Angeles",3.04,341,18,"SKU0010","2020-02-04",2020,2,1,3,9,1
"S002","Seattle",4.42,314,11,"SKU0030","2021-08-29",2021,8,3,1,-2,0
"S004","Seattle",4.94,359,10,"SKU0024","2024-03-21",2024,3,1,5,7,1
"S003","Los Angeles",3.04,222,9,"SKU0027","2022-03-12",2022,3,1,7,4,1
"S007","Los Angeles",3.36,168,19,"SKU0014","2022-01-20",2022,1,1,5,9,1
"S002","Seattle",4.42,451,12,"SKU0023","2021-04-13",2021,4,2,3,7,1
"S009","Los Angeles",3.61,454,12,"SKU0017","2023-12-29",2023,12,4,6,2,1
"S002","Seattle",4.42,33,8,"SKU0018","2024-06-05",2024,6,2,4,5,1
"S010","Seattle",4.05,413,13,"SKU0019","2021-05-03",2021,5,2,2,6,1
"S009","Los Angeles",3.61,302,14,"SKU0017","2019-02-20",2019,2,1,4,8,1
"S007","Los Angeles",3.36,13,11,"SKU0014","2020-07-28",2020,7,3,3,4,1
"S005","Seattle",4.66,229,14,"SKU0009","2022-02-22",2022,2,1,3,4,1
"S003","Los Angeles",3.04,373,10,"SKU0008","2023-09-12",2023,9,3,3,-2,0
"S001","Houston",4.2,391,7,"SKU0002","2020-11-12",2020,11,4,5,1,1
"S009","Los Angeles",3.61,29,12,"SKU0013","2021-04-17",2021,4,2,7,-1,0
"S007","Los Angeles",3.36,453,5,"SKU0025","2021-12-13",2021,12,4,2,-1,0
"S009","Los Angeles",3.61,161,4,"SKU0007","2023-05-15",2023,5,2,2,-1,0
"S005","Seattle",4.66,59,10,"SKU0009","2019-01-05",2019,1,1,7,1,1
"S005","Seattle",4.66,186,3,"SKU0022","2022-01-31",2022,1,1,2,-2,0
"S005","Seattle",4.66,444,15,"SKU0022","2022-05-04",2022,5,2,4,1,1
"S007","Los Angeles",3.36,105,4,"SKU0011","2021-02-12",2021,2,1,6,-1,0
"S007","Los Angeles",3.36,114,15,"SKU0014","2021-05-26",2021,5,2,4,2,1
"S003","Los Angeles",3.04,429,12,"SKU0004","2021-09-18",2021,9,3,7,0,0
"S008","Los Angeles",3.37,259,16,"SKU0026","2019-02-16",2019,2,1,7,9,1
"S008","Los Angeles",3.37,126,12,"SKU0026","2019-09-26",2019,9,3,5,5,1
"S004","Seattle",4.94,363,9,"SKU0029","2020-01-05",2020,1,1,1,1,1
"S009","Los Angeles",3.61,237,8,"SKU0013","2020-09-27",2020,9,3,1,-2,0
"S001","Houston",4.2,75,10,"SKU0002","2022-02-03",2022,2,1,5,-2,0
"S002","Seattle",4.42,344,17,"SKU0023","2023-08-21",2023,8,3,2,9,1
"S007","Los Angeles",3.36,427,21,"SKU0005","2023-08-10",2023,8,3,5,7,1
"S007","Los Angeles",3.36,429,3,"SKU0011","2020-10-18",2020,10,4,1,0,0
"S004","Seattle",4.94,271,16,"SKU0006","2019-04-30",2019,4,2,3,6,1
"S002","Seattle",4.42,304,14,"SKU0018","2021-04-10",2021,4,2,7,4,1
"S010","Seattle",4.05,435,10,"SKU0021","2023-12-16",2023,12,4,7,-1,0
"S003","Los Angeles",3.04,252,17,"SKU0010","2021-12-17",2021,12,4,6,6,1
"S003","Los Angeles",3.04,380,11,"SKU0004","2024-05-28",2024,5,2,3,7,1
"S005","Seattle",4.66,195,3,"SKU0009","2022-10-01",2022,10,4,7,-1,0
"S004","Seattle",4.94,255,5,"SKU0006","2021-01-10",2021,1,1,1,0,0
"S001","Houston",4.2,134,11,"SKU0002","2019-04-27",2019,4,2,7,8,1
"S009","Los Angeles",3.61,277,13,"SKU0017","2024-01-28",2024,1,1,1,7,1
"S007","Los Angeles",3.36,140,5,"SKU0005","2022-02-24",2022,2,1,5,-1,0
"S007","Los Angeles",3.36,246,11,"SKU0025","2024-04-15",2024,4,2,2,0,0
"S004","Seattle",4.94,27,14,"SKU0006","2021-10-09",2021,10,4,7,3,1
